Instance,iteration,violations,cost,Institution,Rank
m12.json,9,0,12035,Ortec,29.0
m12.json,10,0,12035,Ortec,29.0
m12.json,4,0,12039,Ortec,34.0
m12.json,7,0,12082,V777V,35.0
m12.json,8,0,12117,V777V,36.0
m12.json,9,0,12118,V777V,37.0
m12.json,10,0,12154,V777V,38.0
m12.json,5,0,12233,V777V,39.0
m12.json,1,0,12277,V777V,40.0
m12.json,6,0,12411,Twente,41.0
m12.json,3,0,12416,Twente,42.0
m12.json,5,0,12448,Twente,43.0
m12.json,1,0,12453,Twente,44.0
m12.json,8,0,12468,Twente,45.5
m12.json,10,0,12468,Twente,45.5
m12.json,7,0,12474,Twente,47.0
m12.json,2,0,12500,Twente,48.0
m12.json,4,0,12515,Twente,49.0
m12.json,9,0,12520,Twente,50.0
m13.json,7,0,31189,V777V,1.0
m13.json,5,0,31190,V777V,2.0
m13.json,1,0,31242,Ortec,7.5
m13.json,2,0,31242,Ortec,7.5
m13.json,3,0,31242,Ortec,7.5
m13.json,4,0,31242,Ortec,7.5
m13.json,5,0,31242,Ortec,7.5
m13.json,6,0,31242,Ortec,7.5
m13.json,7,0,31242,Ortec,7.5
m13.json,8,0,31242,Ortec,7.5
m13.json,9,0,31242,Ortec,7.5
m13.json,10,0,31242,Ortec,7.5
m13.json,2,0,31245,V777V,13.5
m13.json,4,0,31245,V777V,13.5
m13.json,3,0,31246,V777V,15.0
m13.json,1,0,31251,V777V,16.0
m13.json,9,0,31252,V777V,17.0
m13.json,8,0,31273,V777V,18.0
m13.json,6,0,31299,V777V,19.0
m13.json,10,0,31365,V777V,20.0
m13.json,9,0,31516,Twente,21.0
m13.json,10,0,31536,Twente,22.0
m13.json,3,0,31540,Twente,23.0
m13.json,6,0,31541,Twente,24.0
m13.json,7,0,31554,Twente,25.0
m13.json,4,0,31558,Twente,26.0
m13.json,2,0,31565,Twente,27.0
m13.json,8,0,31575,Twente,28.0
m13.json,5,0,31592,Twente,29.0
m13.json,1,0,31607,Twente,30.0
m13.json,1,0,31924,SDU,31.0
m13.json,6,0,31931,SDU,32.0
m13.json,9,0,31992,SDU,33.0
m13.json,20,0,32003,UGent,34.0
m13.json,7,0,32013,SDU,35.0
m13.json,5,0,32032,SDU,36.0
m13.json,3,0,32033,SDU,37.0
m13.json,10,0,32104,SDU,38.0
m13.json,8,0,32189,SDU,39.0
m13.json,2,0,32190,SDU,40.5
m13.json,19,0,32190,UGent,40.5
m13.json,4,0,32259,SDU,42.0
m13.json,17,0,32281,UGent,43.0
m13.json,18,0,32361,UGent,44.0
m13.json,21,0,32372,UGent,45.0
m13.json,22,0,32437,UGent,46.0
m13.json,25,0,32441,UGent,47.0
m13.json,16,0,32462,UGent,48.0
m13.json,24,0,32562,UGent,49.0
m13.json,23,0,32959,UGent,50.0
m14.json,3,0,13368,Twente,1.0
m14.json,2,0,13380,Twente,2.5
m14.json,8,0,13380,Twente,2.5
m14.json,9,0,13381,Twente,4.0
m14.json,7,0,13383,Twente,5.0
m14.json,10,0,13385,Twente,6.0
m14.json,2,0,13386,V777V,7.0
m14.json,3,0,13388,V777V,8.0
m14.json,1,0,13390,Twente,9.0
m14.json,6,0,13394,Twente,10.0
m14.json,9,0,13397,V777V,11.0
m14.json,4,0,13403,Twente,12.5
m14.json,6,0,13403,V777V,12.5
m14.json,5,0,13407,Twente,14.0
m14.json,8,0,13423,V777V,15.0
